experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
lr_0p001_l1_0p01,50,0.001,0.01,foreign,0.6356475424610858,0.032020379026581475,0.6199215664006528,0.03953825315487484,0.6505080077383253,0.028445235949276962,1.0,6.0
lr_0p003_l1_0p01,50,0.003,0.01,foreign,0.6348195440193976,0.035702765948527844,0.6170997463177845,0.04399377888270493,0.6523099872801039,0.03812139249250669,2.0,12.0
lr_0p001_l1_0p0003,50,0.001,0.0003,foreign,0.6347381396782202,0.03270741415789081,0.6189547888227451,0.03957810052687893,0.6501338124275208,0.029704038573766457,3.0,3.0
lr_0p001_l1_0p0001,50,0.001,0.0001,foreign,0.6345107889825039,0.03290990620969318,0.6187483274342301,0.039917097096748344,0.650128780470954,0.029732790921296617,4.0,2.0
lr_0p001_l1_0,50,0.001,0.0,foreign,0.6345090446037643,0.03286075071120836,0.6187797913325274,0.03979440379989357,0.6501263247595893,0.029747150942821855,5.0,1.0
lr_0p001_l1_0p003,50,0.001,0.003,foreign,0.6343962414452758,0.03256967362793276,0.6186691426904212,0.03959587794693833,0.6502067062589857,0.029324843184301074,6.0,5.0
lr_0p001_l1_0p001,50,0.001,0.001,foreign,0.634281693908048,0.03254411814929212,0.6184498951080406,0.03968381954168747,0.65015127658844,0.029604308584631853,7.0,4.0
lr_0p003_l1_0p003,50,0.003,0.003,foreign,0.6331065640971968,0.035369671033436585,0.6153799635454865,0.044308862249277624,0.6522443943553501,0.03889389075305223,8.0,7.0
lr_0p003_l1_0p001,50,0.003,0.001,foreign,0.6325355707897966,0.03464813327734058,0.6148906136206091,0.04407623033034245,0.6522478924857246,0.03900412990749011,9.0,8.0
lr_0p003_l1_0p0003,50,0.003,0.0003,foreign,0.6325355707897966,0.034142168503059005,0.6149126913121373,0.04377759756729968,0.6522636943393283,0.03904815576226948,9.0,9.0
lr_0p003_l1_0,50,0.003,0.0,foreign,0.6324210232525685,0.03403944366690392,0.6148909738395002,0.043208506203738964,0.6522730615403917,0.039068293204544406,11.0,11.0
lr_0p003_l1_0p0001,50,0.003,0.0001,foreign,0.6323064757153407,0.03416655640110914,0.614673227055911,0.04370360488754623,0.6522697700394524,0.039061513226770685,12.0,10.0
lr_0p01_l1_0p01,50,0.01,0.01,foreign,0.6318482855664289,0.03556742447864771,0.6136139264044475,0.042003156293231966,0.6548906604448954,0.03825444512068277,13.0,13.0
lr_0p03_l1_0p003,50,0.03,0.003,foreign,0.6307202539815445,0.03360354785790131,0.6126863715126559,0.04154477674989288,0.6618116007910835,0.046851863350054854,14.0,20.0
lr_0p01_l1_0p0001,50,0.01,0.0001,foreign,0.6304841813921306,0.03107675390802332,0.6121395233658332,0.040233346526293214,0.655503265062968,0.03918603345291676,15.0,17.0
lr_0p01_l1_0,50,0.01,0.0,foreign,0.6304841813921306,0.0309989301252392,0.6121692893964756,0.04032368254109979,0.6555194483862983,0.0391937517050761,15.0,18.0
lr_0p01_l1_0p003,50,0.01,0.003,foreign,0.630478948255912,0.03283635996140213,0.6120473756076824,0.041217103365793796,0.6551579395929973,0.03901359080322515,17.0,14.0
lr_0p01_l1_0p0003,50,0.01,0.0003,foreign,0.6303696338549025,0.031092350060670734,0.6120900575577485,0.04009058242694048,0.6554717871877882,0.03917084764579377,18.0,16.0
lr_0p01_l1_0p001,50,0.01,0.001,foreign,0.6303678894761631,0.031075439270085766,0.6120609902718706,0.03992128050397502,0.6553688234753079,0.039121119423776884,19.0,15.0
lr_0p03_l1_0p01,50,0.03,0.01,foreign,0.6301440275379256,0.037891298325545254,0.6118420879802201,0.04433873323545985,0.6613362537489997,0.0454115282683913,20.0,19.0
lr_0p03_l1_0p001,50,0.03,0.001,foreign,0.6298056180624604,0.032361473745880893,0.6116659636639532,0.04046352570093675,0.6621031416787042,0.04725949173958188,21.0,21.0
lr_0p03_l1_0p0003,50,0.03,0.0003,foreign,0.6290037853018647,0.03153996047352467,0.61084807515027,0.03926286271770673,0.6622221271197001,0.047399249618063244,22.0,22.0
lr_0p03_l1_0p0001,50,0.03,0.0001,foreign,0.6288892377646368,0.03141556394693077,0.6107376732479773,0.039130761974680794,0.6622581270005968,0.047439904078852,23.0,23.0
lr_0p03_l1_0,50,0.03,0.0,foreign,0.6288874933858973,0.03115064933977023,0.6107320210315826,0.03881708297321187,0.6622761739624872,0.047460248324017774,24.0,24.0
lr_0p001_l1_0p0001,50,0.001,0.0001,institution,0.5338078043504806,0.03283605632712888,0.5235607970095791,0.031549101254952076,0.6989051673147414,0.013150132345449417,1.0,5.0
lr_0p001_l1_0,50,0.001,0.0,institution,0.533806059971741,0.03251953697646051,0.5235567553620819,0.031220325633814695,0.6989193823602464,0.013174249963078252,2.0,6.0
lr_0p001_l1_0p0003,50,0.001,0.0003,institution,0.5335787092760247,0.032858005071156014,0.5233458777858623,0.031491708045033,0.6988773041301304,0.01310281856584131,3.0,4.0
lr_0p001_l1_0p001,50,0.001,0.001,institution,0.5330024828324059,0.03286783971086283,0.5228000511721581,0.031700776272016756,0.6987801392873129,0.012938256602209906,4.0,3.0
lr_0p01_l1_0p003,50,0.01,0.003,institution,0.5312895029102052,0.03381706485606875,0.5180785645411227,0.03668888021376484,0.703679629166921,0.015979353485394487,5.0,15.0
lr_0p001_l1_0p003,50,0.001,0.003,institution,0.5311662334792797,0.03296554829860969,0.5208015159773354,0.032363433762523715,0.6985023021697998,0.01246806262565586,6.0,2.0
lr_0p01_l1_0,50,0.01,0.0,institution,0.5306109395805351,0.03558435171573676,0.5169784995086506,0.03902998434919503,0.7050899465878805,0.017495369607586676,7.0,19.0
lr_0p01_l1_0p001,50,0.01,0.001,institution,0.5306091952017956,0.03498824347083074,0.517113451712669,0.03790752082044882,0.7045903126398723,0.016963614682639065,8.0,16.0
lr_0p01_l1_0p0001,50,0.01,0.0001,institution,0.5304963920433071,0.035608566809358214,0.5168368818738728,0.039005808915901094,0.705038861433665,0.01744035894277261,9.0,18.0
lr_0p01_l1_0p0003,50,0.01,0.0003,institution,0.5304946476645676,0.035172935973804734,0.5168193604638018,0.03864453527495399,0.7049377163251241,0.017331555730191888,10.0,17.0
lr_0p01_l1_0p01,50,0.01,0.01,institution,0.5296840930102744,0.033214759933663414,0.5168769370759244,0.035306595023052625,0.7013169315126208,0.013147636507735672,11.0,8.0
lr_0p003_l1_0p0003,50,0.003,0.0003,institution,0.528559550182869,0.03241747014021238,0.5171500890869706,0.03253293485917756,0.7032337546348572,0.016722706759456436,12.0,11.0
lr_0p003_l1_0p0001,50,0.003,0.0001,institution,0.5282211407074037,0.03285644454483794,0.516733638193059,0.03293349179405871,0.7033048444324069,0.016799637572832763,13.0,13.0
lr_0p003_l1_0,50,0.003,0.0,institution,0.5278792424744594,0.032459156877790815,0.516346015756176,0.03246990566053957,0.7033407357003953,0.016838250602011422,14.0,14.0
lr_0p003_l1_0p001,50,0.003,0.001,institution,0.5276431698850454,0.033053795333996064,0.5164085889947707,0.033237322248369915,0.7029905650350783,0.016453941730424387,15.0,10.0
lr_0p003_l1_0p003,50,0.003,0.003,institution,0.5272995272733616,0.032296108043526776,0.5161282732843945,0.03226314928896692,0.7023172696431478,0.01570087996236594,16.0,9.0
lr_0p001_l1_0p01,50,0.001,0.01,institution,0.5272785947284875,0.031457477016687836,0.5166333521506596,0.03058840104790806,0.6978160937627157,0.010890260225860931,17.0,1.0
lr_0p03_l1_0p01,50,0.03,0.01,institution,0.5260360156063751,0.028872239536738835,0.5120294183205003,0.03339749183008886,0.703284842438168,0.015585997600644753,18.0,12.0
lr_0p03_l1_0p0003,50,0.03,0.0003,institution,0.5256958617521703,0.03036325512662192,0.5121405733325614,0.0347213317532188,0.7068858716222975,0.01909201247049554,19.0,22.0
lr_0p03_l1_0,50,0.03,0.0,institution,0.5253504747617469,0.030609192284014285,0.5117890931974851,0.03492485786605427,0.7070439987712436,0.019237551632444228,20.0,24.0
lr_0p03_l1_0p0001,50,0.03,0.0001,institution,0.5251248684447701,0.03046969734745502,0.5115918199185341,0.03466950011368221,0.7069911215040419,0.019188921164224562,21.0,23.0
lr_0p03_l1_0p001,50,0.03,0.001,institution,0.5251196353085515,0.029804111265392487,0.5114443039967631,0.034407131973999174,0.7065322346157498,0.0187632177844678,22.0,21.0
lr_0p03_l1_0p003,50,0.03,0.003,institution,0.5249981102563654,0.029849348806910057,0.5113227266386429,0.03490094947481369,0.7056166874037848,0.017914148554241432,23.0,20.0
lr_0p003_l1_0p01,50,0.003,0.01,institution,0.5238613567777836,0.031118137796298174,0.5123837283623887,0.03172639928752986,0.7005790525012546,0.013232343398802127,24.0,7.0
lr_0p001_l1_0p0003,50,0.001,0.0003,retail,0.595110506393148,0.050424018385353875,0.5800740519228406,0.05434908745311141,0.6790731694963243,0.026663205495935732,1.0,4.0
lr_0p001_l1_0p0001,50,0.001,0.0001,retail,0.5949959588559202,0.05003860354109152,0.5799317841646937,0.05399789163409894,0.679118792215983,0.02672886839486892,2.0,5.0
lr_0p001_l1_0,50,0.001,0.0,retail,0.5949959588559202,0.05003860354109152,0.5799317841646937,0.05399789163409894,0.6791418062316047,0.02676183936187993,2.0,6.0
lr_0p001_l1_0p001,50,0.001,0.001,retail,0.5946523162442362,0.05038361933246152,0.579643821305902,0.05423716391370424,0.6789171232117547,0.026435704714876353,4.0,3.0
lr_0p001_l1_0p003,50,0.001,0.003,retail,0.5945395130857478,0.05070414275484507,0.579474594901967,0.054639108475040894,0.6784987409909566,0.025804210062215303,5.0,2.0
lr_0p001_l1_0p01,50,0.001,0.01,retail,0.5933992708496869,0.051712151610414286,0.5784551100081553,0.05442255606319992,0.6773590763409932,0.023932624136412773,6.0,1.0
lr_0p003_l1_0p001,50,0.003,0.001,retail,0.5911170419988255,0.04689738906843144,0.5767196425133316,0.050194774123922536,0.6846114529503716,0.032797227987998855,7.0,9.0
lr_0p003_l1_0p01,50,0.003,0.01,retail,0.5906605962286532,0.045560233412048054,0.5755994587519019,0.04967317170594139,0.681694335407681,0.028579910003047816,8.0,7.0
lr_0p003_l1_0p0003,50,0.003,0.0003,retail,0.5906605962286532,0.04690910202680777,0.576214367656343,0.05039042842052076,0.6848905536863539,0.033155556515082764,8.0,10.0
lr_0p003_l1_0p0001,50,0.003,0.0001,retail,0.5905460486914252,0.04688434088869637,0.5761248495417491,0.05044280495482934,0.6849720319112141,0.033258637057459135,10.0,11.0
lr_0p003_l1_0p003,50,0.003,0.003,retail,0.5905425599339462,0.04687682698876461,0.57576953454213,0.05035416674133721,0.683870542049408,0.031824022480565484,11.0,8.0
lr_0p003_l1_0,50,0.003,0.0,retail,0.5903169536169693,0.047193567268817155,0.5758951160067709,0.050731406216447596,0.6850131511688232,0.03331032003287031,12.0,12.0
lr_0p01_l1_0p01,50,0.01,0.01,retail,0.5890516975712433,0.045958336449555715,0.574463676828828,0.05046133618607074,0.6851621349652608,0.0341595351720365,13.0,13.0
lr_0p01_l1_0p003,50,0.01,0.003,retail,0.5881405504096383,0.045592938610944274,0.5741120129814179,0.04954501190089844,0.6877284950680203,0.03743953694831705,14.0,14.0
lr_0p01_l1_0p001,50,0.01,0.001,retail,0.5875608352085404,0.045171968290226044,0.573754185857845,0.04831021571930395,0.6886376063028972,0.03836671457038714,15.0,15.0
lr_0p01_l1_0p0003,50,0.01,0.0003,retail,0.5869846087649218,0.04532492567541115,0.573113122283394,0.04862711864831118,0.688970747258928,0.03869803562741365,16.0,16.0
lr_0p01_l1_0p0001,50,0.01,0.0001,retail,0.5869846087649218,0.04561709320538351,0.5731434363074872,0.04891441101484064,0.6890642987357245,0.038787300322856946,16.0,17.0
lr_0p01_l1_0,50,0.01,0.0,retail,0.5869846087649218,0.04540479417756588,0.5731508605699607,0.048707483755415726,0.6891108274459838,0.0388306397330053,16.0,18.0
lr_0p03_l1_0p01,50,0.03,0.01,retail,0.5834371238683342,0.047219227415170206,0.5669490293648992,0.05382523616674766,0.6957874245113796,0.058978738793447144,19.0,19.0
lr_0p03_l1_0p003,50,0.03,0.003,retail,0.583220239445055,0.04929213263060855,0.5675633733854831,0.055445515441825376,0.6991046229998271,0.06353811464792228,20.0,20.0
lr_0p03_l1_0p001,50,0.03,0.001,retail,0.5827568161599246,0.0495502361816311,0.5672358250660903,0.0554798972397428,0.7001939614613851,0.06454390782026341,21.0,21.0
lr_0p03_l1_0p0003,50,0.03,0.0003,retail,0.5820695309365569,0.04922885502787392,0.5666112118443053,0.055060236706204586,0.700578060415056,0.06484312933322352,22.0,22.0
lr_0p03_l1_0p0001,50,0.03,0.0001,retail,0.5819584721568081,0.05008436763147921,0.5665720829089519,0.0559029712008787,0.7006847620010376,0.06492149837715343,23.0,23.0
lr_0p03_l1_0,50,0.03,0.0,retail,0.5818456689983196,0.050064010997507354,0.5663999749899359,0.05592805707018069,0.7007385518815782,0.06496058640275376,24.0,24.0
