seed,variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
42,e0_baseline,institution,underwater,kospi_return_1d,0.0031321934443743,0.0009802398631801,1.0,0.0,positive,1.0
42,e0_baseline,institution,underwater,fx_level_z_252,0.0004849809924457,0.000621302647637,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
42,e0_baseline,institution,herd,kospi_return_1d,-0.0003940892429252,0.0006937292006836,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
42,e0_baseline,institution,herd,fx_level_z_252,-0.00171562566219,0.0013060975315256,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
42,e0_baseline,institution,momentum,kospi_return_1d,-0.000124954809184,0.0005328511451193,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
42,e0_baseline,institution,momentum,fx_level_z_252,0.0002673455458231,0.0004536596020067,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
42,e0_baseline,institution,volatility,kospi_return_1d,-0.0004338268974808,0.000784232491509,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
42,e0_baseline,institution,volatility,fx_level_z_252,0.0044628298324015,0.0003561374884378,1.0,0.0,positive,1.0
42,e1_persistence,institution,underwater,kospi_return_1d,0.0031575655197634,0.0009918375631821,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
42,e1_persistence,institution,underwater,fx_level_z_252,0.0004649456853965,0.0006008321508942,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
42,e1_persistence,institution,herd,kospi_return_1d,-0.0003985202216426,0.0006822328822552,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
42,e1_persistence,institution,herd,fx_level_z_252,-0.0016833333007929,0.0012781818683237,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
42,e1_persistence,institution,momentum,kospi_return_1d,-0.0001659303208321,0.0005302211443013,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
42,e1_persistence,institution,momentum,fx_level_z_252,0.0002648115126551,0.0004277938267391,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
42,e1_persistence,institution,volatility,kospi_return_1d,-0.0004280740596489,0.0007827648672851,0.2,0.8,negative,0.8
42,e1_persistence,institution,volatility,fx_level_z_252,0.0043841462168428,0.0004010820281164,1.0,0.0,positive,1.0
42,e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
42,e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402453996836,0.0009869169893323,1.0,0.0,positive,1.0
42,e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.0004699118451551,0.0006038045068559,0.8,0.2,positive,0.8
42,e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.0004010904606224,0.0006877850568813,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
42,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505738343969,0.0012878299221968,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
42,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662360706379,0.0005174811534016,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
42,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620733553259,0.0004194900142016,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
42,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304857915283,0.0007474482174456,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
42,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.00438979908617,0.0003969405737549,1.0,0.0,positive,1.0
42,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
42,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721802877,0.0010911315974956,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
43,e0_baseline,institution,underwater,kospi_return_1d,0.0031321934576327,0.0009802398716485,1.0,0.0,positive,1.0
43,e0_baseline,institution,underwater,fx_level_z_252,0.0004849808428843,0.0006213024766315,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
43,e0_baseline,institution,herd,kospi_return_1d,-0.0003940892630149,0.0006937291602608,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
43,e0_baseline,institution,herd,fx_level_z_252,-0.001715625379317,0.0013060973907823,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
43,e0_baseline,institution,momentum,kospi_return_1d,-0.0001249549331179,0.0005328510783029,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
43,e0_baseline,institution,momentum,fx_level_z_252,0.0002673456052434,0.0004536594418705,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
43,e0_baseline,institution,volatility,kospi_return_1d,-0.0004338270391195,0.0007842324026003,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
43,e0_baseline,institution,volatility,fx_level_z_252,0.0044628299048377,0.000356137569873,1.0,0.0,positive,1.0
43,e1_persistence,institution,underwater,kospi_return_1d,0.0031575653886344,0.0009918375589699,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
43,e1_persistence,institution,underwater,fx_level_z_252,0.0004649456810309,0.0006008319060977,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
43,e1_persistence,institution,herd,kospi_return_1d,-0.0003985200860673,0.0006822327419473,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
43,e1_persistence,institution,herd,fx_level_z_252,-0.0016833334258586,0.0012781817092797,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
43,e1_persistence,institution,momentum,kospi_return_1d,-0.0001659303241265,0.000530221146951,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
43,e1_persistence,institution,momentum,fx_level_z_252,0.0002648113896915,0.0004277937597788,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
43,e1_persistence,institution,volatility,kospi_return_1d,-0.0004280739012756,0.0007827649478404,0.2,0.8,negative,0.8
43,e1_persistence,institution,volatility,fx_level_z_252,0.0043841463358451,0.0004010820062351,1.0,0.0,positive,1.0
43,e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
43,e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402453702564,0.0009869169202613,1.0,0.0,positive,1.0
43,e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.00046991190789,0.0006038042826072,0.8,0.2,positive,0.8
43,e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.0004010904910198,0.0006877851766421,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
43,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505737395669,0.0012878299145218,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
43,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662363521366,0.0005174811444166,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
43,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620732307857,0.0004194897353299,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
43,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304856200987,0.000747448258737,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
43,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897990033858,0.0003969407203515,1.0,0.0,positive,1.0
43,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721528008,0.0010911315887991,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
44,e0_baseline,institution,underwater,kospi_return_1d,0.0031321936054155,0.000980239921619,1.0,0.0,positive,1.0
44,e0_baseline,institution,underwater,fx_level_z_252,0.0004849809044066,0.0006213029081477,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
44,e0_baseline,institution,herd,kospi_return_1d,-0.0003940893377956,0.0006937291707889,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
44,e0_baseline,institution,herd,fx_level_z_252,-0.0017156256268612,0.0013060975457371,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
44,e0_baseline,institution,momentum,kospi_return_1d,-0.0001249549469018,0.0005328511873464,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
44,e0_baseline,institution,momentum,fx_level_z_252,0.0002673455895597,0.0004536596551092,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
44,e0_baseline,institution,volatility,kospi_return_1d,-0.0004338269454213,0.0007842324080451,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
44,e0_baseline,institution,volatility,fx_level_z_252,0.0044628298324015,0.0003561375639689,1.0,0.0,positive,1.0
44,e1_persistence,institution,underwater,kospi_return_1d,0.003157565552101,0.0009918376049458,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
44,e1_persistence,institution,underwater,fx_level_z_252,0.0004649457538713,0.0006008319605795,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
44,e1_persistence,institution,herd,kospi_return_1d,-0.0003985200539722,0.0006822328018928,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
44,e1_persistence,institution,herd,fx_level_z_252,-0.0016833332146941,0.0012781818452357,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
44,e1_persistence,institution,momentum,kospi_return_1d,-0.0001659301371546,0.0005302213546043,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
44,e1_persistence,institution,momentum,fx_level_z_252,0.000264811533432,0.0004277936092124,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
44,e1_persistence,institution,volatility,kospi_return_1d,-0.0004280739424252,0.0007827648324373,0.2,0.8,negative,0.8
44,e1_persistence,institution,volatility,fx_level_z_252,0.0043841465221097,0.0004010819490493,1.0,0.0,positive,1.0
44,e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
44,e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402453919225,0.0009869171118889,1.0,0.0,positive,1.0
44,e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.0004699119205825,0.0006038044396518,0.8,0.2,positive,0.8
44,e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.0004010905586862,0.0006877854055374,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
44,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505737603842,0.0012878298619043,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
44,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662362779219,0.0005174811723019,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
44,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620733126807,0.0004194896229972,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
44,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.000430485524056,0.0007474483791843,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
44,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897991223881,0.0003969403504091,1.0,0.0,positive,1.0
44,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
44,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721550644,0.0010911315621366,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
45,e0_baseline,institution,underwater,kospi_return_1d,0.0031321935517351,0.0009802397258936,1.0,0.0,positive,1.0
45,e0_baseline,institution,underwater,fx_level_z_252,0.0004849807247713,0.0006213026892628,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
45,e0_baseline,institution,herd,kospi_return_1d,-0.0003940890864113,0.0006937291736934,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
45,e0_baseline,institution,herd,fx_level_z_252,-0.001715625587571,0.001306097615769,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
45,e0_baseline,institution,momentum,kospi_return_1d,-0.0001249548027569,0.0005328513213925,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
45,e0_baseline,institution,momentum,fx_level_z_252,0.0002673453897134,0.000453659451857,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
45,e0_baseline,institution,volatility,kospi_return_1d,-0.0004338269431577,0.000784232517397,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
45,e0_baseline,institution,volatility,fx_level_z_252,0.00446283002384,0.0003561375029027,1.0,0.0,positive,1.0
45,e1_persistence,institution,underwater,kospi_return_1d,0.0031575652402049,0.000991837676391,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
45,e1_persistence,institution,underwater,fx_level_z_252,0.00046494562347,0.0006008318058578,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
45,e1_persistence,institution,herd,kospi_return_1d,-0.0003985201350587,0.000682232696582,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
45,e1_persistence,institution,herd,fx_level_z_252,-0.0016833333873768,0.0012781818456371,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
45,e1_persistence,institution,momentum,kospi_return_1d,-0.0001659302354609,0.0005302211993186,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
45,e1_persistence,institution,momentum,fx_level_z_252,0.0002648115445077,0.0004277935786694,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
45,e1_persistence,institution,volatility,kospi_return_1d,-0.0004280740266646,0.0007827651074185,0.2,0.8,negative,0.8
45,e1_persistence,institution,volatility,fx_level_z_252,0.0043841464962396,0.0004010820555067,1.0,0.0,positive,1.0
45,e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
45,e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402453974199,0.0009869167436163,1.0,0.0,positive,1.0
45,e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.0004699118409512,0.000603804355146,0.8,0.2,positive,0.8
45,e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.000401090476387,0.000687784895165,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
45,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505738049292,0.001287829925476,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
45,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662362963139,0.0005174812596702,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
45,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620732050369,0.0004194897183439,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
45,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304854549344,0.0007474482993313,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
45,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897991637802,0.0003969405415313,1.0,0.0,positive,1.0
45,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
45,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721668676,0.0010911315249204,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
46,e0_baseline,institution,underwater,kospi_return_1d,0.0031321935093728,0.0009802399035199,1.0,0.0,positive,1.0
46,e0_baseline,institution,underwater,fx_level_z_252,0.0004849809360974,0.0006213026556528,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
46,e0_baseline,institution,herd,kospi_return_1d,-0.0003940894161739,0.0006937292080881,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
46,e0_baseline,institution,herd,fx_level_z_252,-0.0017156255248361,0.0013060974892133,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
46,e0_baseline,institution,momentum,kospi_return_1d,-0.0001249547892964,0.0005328512694084,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
46,e0_baseline,institution,momentum,fx_level_z_252,0.0002673454530951,0.000453659537682,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
46,e0_baseline,institution,volatility,kospi_return_1d,-0.0004338271043606,0.000784232538278,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
46,e0_baseline,institution,volatility,fx_level_z_252,0.0044628298944897,0.0003561373293397,1.0,0.0,positive,1.0
46,e1_persistence,institution,underwater,kospi_return_1d,0.0031575654138578,0.0009918374853527,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
46,e1_persistence,institution,underwater,fx_level_z_252,0.000464945775295,0.0006008319644504,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
46,e1_persistence,institution,herd,kospi_return_1d,-0.0003985202530101,0.0006822327474663,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
46,e1_persistence,institution,herd,fx_level_z_252,-0.0016833334303454,0.0012781817875407,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
46,e1_persistence,institution,momentum,kospi_return_1d,-0.0001659302137745,0.0005302212146208,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
46,e1_persistence,institution,momentum,fx_level_z_252,0.000264811472314,0.0004277936150168,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
46,e1_persistence,institution,volatility,kospi_return_1d,-0.0004280739768647,0.000782764966966,0.2,0.8,negative,0.8
46,e1_persistence,institution,volatility,fx_level_z_252,0.0043841462323649,0.0004010818285559,1.0,0.0,positive,1.0
46,e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
46,e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402454090615,0.0009869169941507,1.0,0.0,positive,1.0
46,e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.0004699118030354,0.000603804347518,0.8,0.2,positive,0.8
46,e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.0004010908440654,0.000687785286697,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
46,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505739531971,0.0012878298744491,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
46,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662362196333,0.0005174812687475,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
46,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620733135295,0.0004194898230763,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
46,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304855992409,0.0007474483594994,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
46,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897989464716,0.000396940454555,1.0,0.0,positive,1.0
46,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
46,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721628254,0.0010911315889915,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
